"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007"
"38" 36489.5 36545.5 36179.5 34574 32627.5 31844.5 31657 32229 34993 37666 37533.5 37630 38228 38606.5 38915.5 38535.5 38735.5 39408 40123.5 40415.5 40286 40652.5 40976.5 41386.5 41653.5 41081.5 40715.5 41339.5 41944 43155.5 45214.5 47133.5 48529 49028 49813.5 50556.5 50691.5 50275 49702 49074 49171.5 49937 50362 51263.5 52290.5 53611.5 54486.5 55595.25 57179.25 58329 59599 61492 63453 63878 63360.5 62682 61730.5 61036
"39" 36701 36635.5 36851.5 36502.5 34792.5 32639 31669 31398 32188 34878 37627 37817.5 37844.5 38413.5 38713 38926 38549.5 38810 39498.5 40203 40445 40222.5 40586 40959 41362.5 41387.5 40608.5 40338 41114 41823 43079.5 45198.5 47174 48550.5 49018 49762.5 50547 50769 50422.5 49879.5 49222 49372.5 50151.5 50501.5 51360.5 52380.5 53623.5 54415.5 55500.5 57151 58416.5 59817.5 61889 63782 64037.5 63492 62837 62114.5
"40" 37253.5 36671.5 36383 36226.5 35533.5 33662 31616 30937.5 31040.5 31911.5 34952.5 37976.5 37982 37981 38490 38721 38932.5 38620 38896.5 39569.5 40211.5 40373 40108 40534.5 40955.5 41114.5 40924 40224 40128.5 41016 41793 43101 45245.5 47195 48528.5 48985.5 49754 50575 50864.5 50582.5 50069.5 49431.5 49519.5 50281.5 50636 51458 52420 53553 54312 55475.5 57232.5 58606 60122.5 62196.5 63996.5 64218 63690.5 63175.5
"41" 37603 37199.5 36583.5 36293 36165.5 35525.5 33699 31694.5 31032.5 31077 31803 34940 38123.5 38093 38043 38482.5 38725.5 38989.5 38694.5 38964 39556 40121 40283 40050.5 40523.5 40754 40690 40576 40043.5 40048.5 40959.5 41748.5 43090 45220.5 47147 48494 48961.5 49767.5 50671.5 50983 50670 50215 49589.5 49631 50329 50642.5 51423 52317 53429.5 54257 55510 57330 58833.5 60400.5 62393.5 64121.5 64355 63978
"42" 37206 37557 37102.5 36497 36244.5 36160 35577 33792 31797.5 31067.5 30908.5 31715.5 35067 38215 38128.5 38021.5 38468.5 38769 39050 38755.5 38958.5 39482 40032 40223.5 40009 40283 40359.5 40366 40370 39939.5 40002 40947 41764 43093.5 45173.5 47073 48443.5 48964.5 49829 50709.5 50950.5 50720.5 50317.5 49642 49629.5 50303 50575 51297.75 52203.75 53368.5 54278 55630 57594.5 59123 60597 62557 64260 64597.5
"43" 36357 37131.5 37451.5 36993 36440 36237 36194 35653 33881 31834 30937 30829.5 31804 35149 38247 38101 38001 38504 38828.5 39095 38743 38887 39420 40015.5 40196.5 39794.5 39916 40050 40159.5 40222.5 39864 39973.5 40911 41693 43003 45101.5 47024 48425.5 49003.5 49877.5 50749 51022 50746.5 50289.5 49596.5 49592.5 50255.5 50505.25 51206.25 52138 53406 54382.5 55846 57796.5 59274.5 60725 62630 64533.5
"44" 36230.5 36290.5 37029.5 37340.5 36916.5 36415.5 36264 36273 35748.5 33910 31716.5 30887 30913.5 31851.5 35164.5 38217 38068.5 38013 38549.5 38876 39073.5 38658.5 38814 39413 40004 39976 39415 39598.5 39865 40044 40131.5 39817.5 39957.5 40855.5 41587.5 42930 45066 47014.5 48450 49027 49901 50782.5 51015.5 50733 50266.5 49503.5 49448 50116 50419.5 51153 52077 53442.5 54564 56088.5 57931 59306 60818 62854
"45" 35705 36165 36218.5 36967.5 37287.5 36872 36326 36096.5 35998.5 35371 33591.5 31647 30949 30940.5 31851 35123 38182 38078 38031.5 38566.5 38791.5 38940 38607 38801.5 39405.5 39807.5 39593 39107.5 39420.5 39733 39947 40094 39797.5 39901 40766 41490 42853 45002.5 46999 48459.5 49011 49919 50783 50965 50667 50196.5 49385.5 49293.5 49991.5 50351.5 51121 52130 53578.5 54779.5 56296 58012.5 59378 60966.5
"46" 34888 35620 36062 36113 36861 37193 36780 36257 36048 35976 35469 33710 31691 30981 30932.5 31801 35080.5 38174 38080.5 38033.5 38470 38648 38880 38578.5 38746.5 39234 39496.5 39299.5 38928 39298 39635.5 39883 40036.5 39706 39791 40649 41385.5 42765.5 44945.5 46976 48298 48839.5 49842.5 50673.5 50857.5 50561.5 50048 49215.75 49140.75 49859.5 50272.5 51126 52215.5 53686 54806 56305 58062.5 59487
"47" 34739 34781.5 35509 35938 35989 36748.5 37072.5 36688.5 36191.5 36012.5 35939 35466 33752.5 31708 30964 30879 31745 35057.5 38161 38053 37926.5 38332 38586.5 38831.5 38517 38554.5 38895 39176 39070.5 38773 39187.5 39572.5 39839.5 39959 39578.5 39650 40541.5 41305 42713.5 44892 46871.5 48236 48740 49693 50516.5 50691 50384.5 49833.5 49039 49030.5 49780.5 50250 51154 52274.5 53814.5 54876 56295 58139
"48" 35083.5 34627.5 34666 35366.5 35798.5 35875 36627.5 36980.5 36612 36137.5 36040 35992 35484.5 33741 31657 30890 30812 31708.5 35038.5 38132.5 37948 37793 38269 38518 38749.5 38347 38235 38610 38981.5 38917 38637 39089.5 39497.5 39701.5 39797 39435.5 39532 40447 41225.5 42630 44772.5 46755.5 48143.5 48623.5 49582 50390.5 50476.5 50141.75 49608.25 48872 48916 49731.5 50276.5 51126.5 52179 53722.5 54834 56355.5
"49" 34184.5 34956 34494.5 34515 35214 35661.5 35744 36527.5 36900 36553 36076 35979.5 35958.5 35454.5 33692.5 31575 30810.5 30769 31668.5 34990 38029 37803 37687 38174 38414 38557 38035.5 37956.5 38422 38803.5 38749.5 38513.5 38981.5 39354 39528.5 39634 39292.5 39402 40311.5 41074 42468.5 44645 46613.5 47977 48426 49347.5 50140 50209.5 49901 49421 48717.5 48805 49691.5 50246.5 51132.5 52125 53620.5 54847.5
"50" 33143 34040 34779 34331.5 34387.5 35114 35591.5 35704 36491 36863 36530 36053 35932 35900 35385.5 33611.5 31487.5 30740 30709 31596 34850.5 37870.5 37732.5 37624.5 38078.5 38230 38267 37757.5 37745 38270 38675 38654 38429.5 38826.5 39158.5 39354.5 39497.5 39206.5 39329.5 40220.5 40941.5 42331 44484.5 46396.5 47784.5 48242.5 49110.5 49877.25 49953.75 49710 49301 48600 48764 49627.5 50105 51017 52013 53550
"51" 32416 32975 33862.5 34602.5 34186 34262 34993 35485.5 35587.5 36374.5 36782 36479 36003 35868 35821.5 35289.5 33527 31426 30675.5 30638 31480 34693 37760 37663.5 37533.5 37878.5 37944.5 38032 37573 37557.5 38104.5 38557.5 38537.5 38281 38653.5 38981.5 39202.5 39373.5 39095 39205 39962.5 40669.5 42091.5 44224 46178.5 47531.5 47931 48785 49592 49716.5 49474 49120.5 48544.5 48668 49454 49946.5 50874 51914
"52" 31325.5 32244 32792 33691 34455 34045.5 34116 34868.5 35358.5 35446.5 36223.5 36673 36394.5 35889.5 35757.5 35707.5 35169.5 33443 31356.5 30587 30499.5 31332.5 34565.5 37626 37552.5 37346.5 37571.5 37656.5 37822.5 37393.5 37394.5 37954.5 38417.5 38379.5 38089.5 38449 38792.5 39032 39212.5 38942 38901 39662.5 40487 41899 44053.5 45960 47266 47656.75 48489.75 49293 49457 49296 48994 48370 48473.5 49307.5 49813.5 50729
